site_id,latitude,longitude,source_dataset_id,qc_flag,harmonized_location_uuid,latitude_harmonized,longitude_harmonized,n_records_in_uuid,n_datasets_in_uuid
PLM1,38.919771,-106.949273,ess-dive-01092fc392bc46d-20240819T143818677,nan,6a45943a-830f-4a42-bc56-b4ba906e3b2a,38.919771,-106.949273,1,1
PLM2,38.920157,-106.948714,ess-dive-01092fc392bc46d-20240819T143818677,nan,c3611f4f-954f-4868-840b-e297969f16c6,38.920157,-106.948714,1,1
PLM3,38.920784,-106.948367,ess-dive-01092fc392bc46d-20240819T143818677,nan,5fa3c114-43b8-434d-a08f-875370ebb5bb,38.920784,-106.948367,1,1
high_conifer,38.9314213,-106.98524,ess-dive-18e91eb74405882-20241017T173226640,nan,0bce326c-97c9-44fc-8bed-63afd564672a,38.9314213,-106.98524,1,1
low_aspen,38.9261964,-106.97144,ess-dive-18e91eb74405882-20241017T173226640,nan,fa3763ae-01f4-4004-9c5c-50b44d1fff9e,38.9261964,-106.97144,1,1
middle_aspen,38.9283998,-106.97812,ess-dive-18e91eb74405882-20241017T173226640,nan,dc7c4cda-6c6f-40a9-96cf-62d86c8c2070,38.9283998,-106.97812,1,1
middle_conifer,38.9274479,-106.97852,ess-dive-18e91eb74405882-20241017T173226640,nan,bac62b67-c280-4356-96c6-11bb028035c3,38.9274479,-106.97852,1,1
BM,38.98715,-107.003863,ess-dive-38e901ec3d7bd24-20230504T211548257225,nan,3d9b8f1c-c688-460e-8673-c130503b8226,38.98715,-107.003863,1,1
001-ER18,38.95723345264263,-106.98611271428429,ess-dive-460e696d8210ed3-20260309T155937802,nan,f46f4dcc-39aa-4672-aa29-2534c20ed60d,38.95723122632131,-106.98610635714215,2,2
002-ER18,38.95729080788059,-106.98611507758682,ess-dive-460e696d8210ed3-20260309T155937802,nan,6647589c-13a3-4533-a5db-e14f0904a29d,38.957289403940294,-106.9861075387934,2,2
003-ER18,38.95737096975504,-106.98616974260366,ess-dive-460e696d8210ed3-20260309T155937802,nan,58ea572d-26ea-452d-8229-d675778b2c19,38.95736948487752,-106.98616487130184,2,2
004-ER18,38.95747767884112,-106.98611520686863,ess-dive-460e696d8210ed3-20260309T155937802,nan,b95c3f83-cfe5-423b-8f12-4334177dd408,38.957477339420564,-106.98611260343432,2,2
005-ER18,38.957466360459,-106.98624548976814,ess-dive-460e696d8210ed3-20260309T155937802,nan,1f99f9da-8c26-4662-887b-47b9eb334e8e,38.9574636802295,-106.98623774488408,2,2
006-ER18,38.95787281866515,-106.98484754812118,ess-dive-460e696d8210ed3-20260309T155937802,nan,3624b589-ea5c-45fa-b2ea-5d2f91edef83,38.95787040933257,-106.98483877406059,2,2
007-ER18,38.95782983804567,-106.98476819885025,ess-dive-460e696d8210ed3-20260309T155937802,nan,49d1122a-a679-41f6-92e5-7f0df3c59639,38.957826919022835,-106.98475909942513,2,2
008-ER18,38.95782443798487,-106.98484728268441,ess-dive-460e696d8210ed3-20260309T155937802,nan,8986dc28-4987-4656-b883-dd1bae94b6aa,38.95782371899243,-106.98483864134221,2,2
009-ER18,38.95794078323036,-106.9845175732738,ess-dive-460e696d8210ed3-20260309T155937802,nan,46edffb9-31af-4eb1-bb09-0f9f8e83526c,38.957938891615186,-106.9845087866369,2,2
010-ER18,38.921891493233915,-106.95190061670549,ess-dive-460e696d8210ed3-20260309T155937802,nan,e53cc785-dcb2-400a-b78b-309cb16f3e02,38.92189124661696,-106.95189530835275,2,2
011-ER18,38.921875610947126,-106.95212290957429,ess-dive-460e696d8210ed3-20260309T155937802,nan,a00df828-7bfa-4f7b-b3f1-d78d001a3060,38.921874805473564,-106.95211645478715,2,2
012-ER18,38.921826573375206,-106.9522103566674,ess-dive-460e696d8210ed3-20260309T155937802,nan,f75f234f-a91e-4f04-a093-f4b6ac58ffef,38.9218272866876,-106.9522051783337,2,2
013-ER18,38.921663696645936,-106.95241857281597,ess-dive-460e696d8210ed3-20260309T155937802,nan,53f152c2-3ab5-466e-b05d-86eecd59d8f9,38.92166284832297,-106.95241428640799,2,2
014-ER18,38.921773490001854,-106.95265809430872,ess-dive-460e696d8210ed3-20260309T155937802,nan,733c301f-8dc1-44f5-ab0f-077457757f3a,38.921774245000925,-106.95265404715437,2,2
015-ER18,38.92158078199152,-106.9526297532968,ess-dive-460e696d8210ed3-20260309T155937802,nan,4a0846d1-5e9c-4c37-9fa7-12b0769a2c54,38.92158139099576,-106.9526248766484,2,2
016-ER18,38.9215854129897,-106.95277300935591,ess-dive-460e696d8210ed3-20260309T155937802,nan,0fe87e02-117e-4a11-8bab-56ed70a282bf,38.921584706494855,-106.95276650467795,2,2
017-ER18,38.92153224182669,-106.9526766818336,ess-dive-460e696d8210ed3-20260309T155937802,nan,870da217-a25f-4968-8ad8-37104c95162a,38.92153162091334,-106.95267334091679,2,2
018-ER18,38.921550903816396,-106.95303142313098,ess-dive-460e696d8210ed3-20260309T155937802,nan,f6f72353-d844-4ab7-81e7-c769749c75f3,38.9215514519082,-106.95302571156549,2,2
019-ER18,38.92151694967027,-106.95282593141083,ess-dive-460e696d8210ed3-20260309T155937802,nan,63fdff51-5424-48ac-a05d-cdcec4ba8f3f,38.92151847483514,-106.95282296570542,2,2
021-ER18,38.9569092660056,-106.98749874091347,ess-dive-460e696d8210ed3-20260309T155937802,nan,dc1250c5-c15a-4ef2-a0d6-44d558605f90,38.9569096330028,-106.98749437045673,2,2
022-ER18,38.95697853857521,-106.9874203699152,ess-dive-460e696d8210ed3-20260309T155937802,nan,6d783db6-26df-472d-bdfd-7ed45185e2d8,38.9569757692876,-106.9874151849576,2,2
023-ER18,38.95709538274837,-106.98685546263967,ess-dive-460e696d8210ed3-20260309T155937802,nan,45b7afa8-c0d1-41fa-aa8a-78b3f7af1bbf,38.957093191374184,-106.98684773131984,2,2
024-ER18,38.95703666334938,-106.98673744139276,ess-dive-460e696d8210ed3-20260309T155937802,nan,d50bf42e-ff80-48c6-ab9b-a02de420a062,38.95703533167469,-106.98672872069639,2,2
026-ER18,38.95651651837828,-106.9864823739618,ess-dive-460e696d8210ed3-20260309T155937802,nan,e97b6d33-3a4e-4cfb-91d0-2b17177cc097,38.956513759189136,-106.9864711869809,2,2
027-ER18,38.95682778347732,-106.986204241718,ess-dive-460e696d8210ed3-20260309T155937802,nan,ab963e4a-f8c9-42b6-acc9-7a2e9690ee0e,38.95682489173866,-106.986197120859,2,2
028-ER18,38.95676878271127,-106.98612388001516,ess-dive-460e696d8210ed3-20260309T155937802,nan,9d5424f0-07b8-4c94-bdaa-28fefe203efe,38.956766891355635,-106.98611694000758,2,2
029-ER18,38.95670300833209,-106.98576919787831,ess-dive-460e696d8210ed3-20260309T155937802,nan,340e401b-47b4-4d98-ab01-ea082c0cf9c3,38.95670100416605,-106.98575959893915,2,2
030-ER18,38.956707117432885,-106.98594068081738,ess-dive-460e696d8210ed3-20260309T155937802,nan,92de4dbc-f70f-4ad6-9ca2-9e4d3c4b5115,38.95670605871644,-106.98593534040869,2,2
031-ER18,38.95708999888167,-106.98612389497279,ess-dive-460e696d8210ed3-20260309T155937802,nan,0f3c25ab-0556-49ec-8ceb-a34f7b35daff,38.95710499944084,-106.98613694748639,2,2
033-ER18,38.92170800673986,-106.9535612350412,ess-dive-460e696d8210ed3-20260309T155937802,nan,aedb7379-e359-4e5b-8071-a185bd388f10,38.92171400336993,-106.9535606175206,2,2
034-ER18,38.921868874093185,-106.95376920605766,ess-dive-460e696d8210ed3-20260309T155937802,nan,e15a502c-b8c7-467a-803a-e33b7c75b747,38.92186693704659,-106.95376460302883,2,2
035-ER18,38.920653230446305,-106.95144075666418,ess-dive-460e696d8210ed3-20260309T155937802,nan,0213eae0-b1be-440b-a5f1-344de11b294a,38.92065611522315,-106.9514453783321,2,2
036-ER18,38.920601584579614,-106.95147407078733,ess-dive-460e696d8210ed3-20260309T155937802,nan,d5b96e72-acca-492a-b7bd-382e9ded66dd,38.92060329228981,-106.95147203539366,2,2
037-ER18,38.920451134627875,-106.95134336129539,ess-dive-460e696d8210ed3-20260309T155937802,nan,1dd830fb-6249-472b-ae58-46a2a39b1bc9,38.92045256731394,-106.95134168064769,2,2
038-ER18,38.92038609806835,-106.95135304420565,ess-dive-460e696d8210ed3-20260309T155937802,nan,f4429d31-674c-4ef9-9d14-c33d1f29b64b,38.92037804903417,-106.95135152210283,2,2
039-ER18,38.920602263471146,-106.95162744383525,ess-dive-460e696d8210ed3-20260309T155937802,nan,6ee3cf7e-230d-4801-b060-18bf8b0c1a49,38.920602631735576,-106.95162872191761,2,2
040-ER18,38.920617212157474,-106.95153097016596,ess-dive-460e696d8210ed3-20260309T155937802,nan,def057d8-5483-44aa-9380-87d349dafc74,38.92062460607873,-106.95153548508299,2,2
042-ER18,38.91992285310742,-106.95150523041582,ess-dive-460e696d8210ed3-20260309T155937802,nan,7ed92df0-8a29-442f-a27f-db325a8525a7,38.91990492655371,-106.9515226152079,2,2
043-ER18,38.927269594247484,-106.98044665333467,ess-dive-460e696d8210ed3-20260309T155937802,nan,1b095819-4c74-493b-9f9c-3cf413d0edd2,38.92727079712374,-106.98045332666733,2,2
044-ER18,38.92099334316691,-106.95094129111013,ess-dive-460e696d8210ed3-20260309T155937802,nan,cbe945e5-ac9b-444f-837d-1dbb7c59f5a9,38.92099317158346,-106.95093564555506,2,2
045-ER18,38.9209178147384,-106.95081322253482,ess-dive-460e696d8210ed3-20260309T155937802,nan,5cd966c2-b5cf-4adc-a98f-60ef1daac486,38.92092980745516,-106.95080908077107,4,2
