fold,relative_path,size_bytes,status
fold-01-holdout-1-2-3-6-16-27,AGENT_ACTION_LOG.md,56751,copied
fold-01-holdout-1-2-3-6-16-27,AGENT_INSTRUCTIONS.md,871,copied
fold-01-holdout-1-2-3-6-16-27,MANIFEST.json,763,copied
fold-01-holdout-1-2-3-6-16-27,agent_outputs/curator_bundle.json,8804,copied
fold-01-holdout-1-2-3-6-16-27,agent_outputs/harmonize_heldout.py,10499,copied
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_01_harmonized.csv,88469291,omitted_large_csv_manifested
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_02_harmonized.csv,9083282,omitted_large_csv_manifested
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_03_harmonized.csv,7564930,omitted_large_csv_manifested
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_06_harmonized.csv,39129737,omitted_large_csv_manifested
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_16_harmonized.csv,80670803,omitted_large_csv_manifested
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_27_harmonized.csv,2921184,omitted_large_csv_manifested
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_harmonized.csv,394183424,omitted_large_csv_manifested
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_row_counts.csv,362,copied
fold-01-holdout-1-2-3-6-16-27,agent_outputs/mapping.json,18303,copied
fold-01-holdout-1-2-3-6-16-27,agent_outputs/mapping_notes.md,2309,copied
fold-01-holdout-1-2-3-6-16-27,agent_outputs/verification_summary.json,1638,copied
fold-02-holdout-15-26,AGENT_ACTION_LOG.md,12355,copied
fold-02-holdout-15-26,AGENT_INSTRUCTIONS.md,682,copied
fold-02-holdout-15-26,MANIFEST.json,554,copied
fold-02-holdout-15-26,agent_outputs/curator_bundle.json,6391,copied
fold-02-holdout-15-26,agent_outputs/harmonize_heldout.py,20893,copied
fold-02-holdout-15-26,agent_outputs/heldout_harmonized.csv,47288,omitted_large_csv_manifested
fold-02-holdout-15-26,agent_outputs/heldout_harmonized_dataset_15.csv,15189,omitted_large_csv_manifested
fold-02-holdout-15-26,agent_outputs/heldout_harmonized_dataset_26.csv,31678,omitted_large_csv_manifested
fold-02-holdout-15-26,agent_outputs/mapping.json,6641,copied
fold-02-holdout-15-26,agent_outputs/mapping_notes.md,1487,copied
fold-03-holdout-4,AGENT_ACTION_LOG.failed-write-location.md,15162,copied
fold-03-holdout-4,AGENT_ACTION_LOG.md,7248,copied
fold-03-holdout-4,AGENT_INSTRUCTIONS.md,628,copied
fold-03-holdout-4,MANIFEST.json,493,copied
fold-03-holdout-4,agent_outputs/curator_bundle.json,6081,copied
fold-03-holdout-4,agent_outputs/harmonize_heldout.py,3724,copied
fold-03-holdout-4,agent_outputs/heldout_harmonized.csv,54295,omitted_large_csv_manifested
fold-03-holdout-4,agent_outputs/mapping.json,4119,copied
fold-03-holdout-4,agent_outputs/mapping_notes.md,2021,copied
fold-04-holdout-5,AGENT_ACTION_LOG.md,6215,copied
fold-04-holdout-5,AGENT_INSTRUCTIONS.md,631,copied
fold-04-holdout-5,MANIFEST.json,496,copied
fold-04-holdout-5,agent_outputs/__pycache__/harmonize_heldout.cpython-313.pyc,5222,omitted_cache
fold-04-holdout-5,agent_outputs/curator_bundle.json,15442,copied
fold-04-holdout-5,agent_outputs/harmonize_heldout.py,3136,copied
fold-04-holdout-5,agent_outputs/heldout_harmonized.csv,26730275,omitted_large_csv_manifested
fold-04-holdout-5,agent_outputs/mapping.json,4025,copied
fold-04-holdout-5,agent_outputs/mapping_notes.md,1397,copied
fold-05-holdout-7,AGENT_ACTION_LOG.md,6783,copied
fold-05-holdout-7,AGENT_INSTRUCTIONS.md,631,copied
fold-05-holdout-7,MANIFEST.json,496,copied
fold-05-holdout-7,agent_outputs/curator_bundle.json,3094,copied
fold-05-holdout-7,agent_outputs/harmonize_heldout.py,2799,copied
fold-05-holdout-7,agent_outputs/heldout_harmonized.csv,2806894,omitted_large_csv_manifested
fold-05-holdout-7,agent_outputs/mapping.json,3628,copied
fold-05-holdout-7,agent_outputs/mapping_notes.md,1886,copied
fold-06-holdout-8,AGENT_ACTION_LOG.md,15281,copied
fold-06-holdout-8,AGENT_INSTRUCTIONS.md,628,copied
fold-06-holdout-8,MANIFEST.json,493,copied
fold-06-holdout-8,agent_outputs/curator_bundle.json,3525,copied
fold-06-holdout-8,agent_outputs/harmonize_heldout.py,4383,copied
fold-06-holdout-8,agent_outputs/heldout_harmonized.csv,12635998,omitted_large_csv_manifested
fold-06-holdout-8,agent_outputs/mapping.json,5479,copied
fold-06-holdout-8,agent_outputs/mapping_notes.md,1781,copied
fold-07-holdout-9,AGENT_ACTION_LOG.md,8432,copied
fold-07-holdout-9,AGENT_INSTRUCTIONS.md,628,copied
fold-07-holdout-9,MANIFEST.json,493,copied
fold-07-holdout-9,agent_outputs/curator_bundle.json,2650,copied
fold-07-holdout-9,agent_outputs/harmonize_heldout.py,2647,copied
fold-07-holdout-9,agent_outputs/heldout_harmonized.csv,34008,omitted_large_csv_manifested
fold-07-holdout-9,agent_outputs/mapping.json,3661,copied
fold-07-holdout-9,agent_outputs/mapping_notes.md,1333,copied
fold-08-holdout-10,AGENT_ACTION_LOG.md,4963,copied
fold-08-holdout-10,AGENT_INSTRUCTIONS.md,628,copied
fold-08-holdout-10,MANIFEST.json,494,copied
fold-08-holdout-10,agent_outputs/curator_bundle.json,2545,copied
fold-08-holdout-10,agent_outputs/harmonize_heldout.py,2981,copied
fold-08-holdout-10,agent_outputs/heldout_harmonized.csv,16460,omitted_large_csv_manifested
fold-08-holdout-10,agent_outputs/mapping.json,3786,copied
fold-08-holdout-10,agent_outputs/mapping_notes.md,1396,copied
fold-09-holdout-17,AGENT_ACTION_LOG.md,16163,copied
fold-09-holdout-17,AGENT_INSTRUCTIONS.md,628,copied
fold-09-holdout-17,MANIFEST.json,494,copied
fold-09-holdout-17,agent_outputs/curator_bundle.json,10633,copied
fold-09-holdout-17,agent_outputs/harmonize_heldout.py,3611,copied
fold-09-holdout-17,agent_outputs/heldout_harmonized.csv,12594091,omitted_large_csv_manifested
fold-09-holdout-17,agent_outputs/mapping.json,4486,copied
fold-09-holdout-17,agent_outputs/mapping_notes.md,1120,copied
fold-10-holdout-18,AGENT_ACTION_LOG.md,8019,copied
fold-10-holdout-18,AGENT_INSTRUCTIONS.md,628,copied
fold-10-holdout-18,MANIFEST.json,494,copied
fold-10-holdout-18,agent_outputs/curator_bundle.json,2639,copied
fold-10-holdout-18,agent_outputs/harmonize_heldout.py,2385,copied
fold-10-holdout-18,agent_outputs/heldout_harmonized.csv,38561,omitted_large_csv_manifested
fold-10-holdout-18,agent_outputs/mapping.json,4353,copied
fold-10-holdout-18,agent_outputs/mapping_notes.md,1613,copied
fold-11-holdout-23,AGENT_ACTION_LOG.md,14461,copied
fold-11-holdout-23,AGENT_INSTRUCTIONS.md,631,copied
fold-11-holdout-23,MANIFEST.json,497,copied
fold-11-holdout-23,agent_outputs/curator_bundle.json,4929,copied
fold-11-holdout-23,agent_outputs/harmonize_heldout.py,4347,copied
fold-11-holdout-23,agent_outputs/heldout_harmonized.csv,116186889,omitted_large_csv_manifested
fold-11-holdout-23,agent_outputs/mapping.json,3970,copied
fold-11-holdout-23,agent_outputs/mapping_notes.md,1354,copied
fold-12-holdout-24,AGENT_ACTION_LOG.md,10747,copied
fold-12-holdout-24,AGENT_INSTRUCTIONS.md,628,copied
fold-12-holdout-24,MANIFEST.json,494,copied
fold-12-holdout-24,agent_outputs/__pycache__/harmonize_heldout.cpython-313.pyc,5886,omitted_cache
fold-12-holdout-24,agent_outputs/curator_bundle.json,3433,copied
fold-12-holdout-24,agent_outputs/harmonize_heldout.py,3567,copied
fold-12-holdout-24,agent_outputs/heldout_harmonized.csv,307166,omitted_large_csv_manifested
fold-12-holdout-24,agent_outputs/mapping.json,3632,copied
fold-12-holdout-24,agent_outputs/mapping_notes.md,1700,copied
fold-13-holdout-25,AGENT_ACTION_LOG.md,10339,copied
fold-13-holdout-25,AGENT_INSTRUCTIONS.md,628,copied
fold-13-holdout-25,MANIFEST.json,494,copied
fold-13-holdout-25,agent_outputs/curator_bundle.json,4029,copied
fold-13-holdout-25,agent_outputs/harmonize_heldout.py,3473,copied
fold-13-holdout-25,agent_outputs/heldout_harmonized.csv,28558763,omitted_large_csv_manifested
fold-13-holdout-25,agent_outputs/mapping.json,3687,copied
fold-13-holdout-25,agent_outputs/mapping_notes.md,1229,copied
