fold,relative_path,size_bytes,line_count,sha256
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_01_harmonized.csv,88469291,1373557,a7ca19d80f992e0abbea3b1dcab2717d2b23debf7db4c20d185110f93ce056d0
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_02_harmonized.csv,9083282,154177,7d593835e3a3957d2359c1145bcdd35c02372ef57bee794b228a2442ddaca185
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_03_harmonized.csv,7564930,139741,ab12568c37307b44c1d359a5346875674e92de1a9e5e1b8d5fd35fc345d5a69b
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_06_harmonized.csv,39129737,617935,0ca8119bb2a7f48dd0b2d54db5c38f73e601c8df74ec4ccc579977b3bfa19933
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_16_harmonized.csv,80670803,1250670,8aebb3e912004db6469fe30680015db7aab7dcf221288d743d232809df5f7601
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_dataset_27_harmonized.csv,2921184,48697,b212403c3bc8283661e7e4e3608c220e2b997f2bbda9a273e874a68ea3a4a67f
fold-01-holdout-1-2-3-6-16-27,agent_outputs/heldout_harmonized.csv,394183424,3584772,a939a3e20c63497535d88153bd6e41e99ff534c77123797062dd16c9ad465664
fold-02-holdout-15-26,agent_outputs/heldout_harmonized.csv,47288,712,271c6ef0d4a04f052eae8a69a179bed178f5cdd592ddc190c1a7ae01aab08407
fold-02-holdout-15-26,agent_outputs/heldout_harmonized_dataset_15.csv,15189,287,b0594c3d5f8a9de07a078ad794ea937493088a8ac1d45051009f20a5127d3bf1
fold-02-holdout-15-26,agent_outputs/heldout_harmonized_dataset_26.csv,31678,426,c2126c9e0caedbe7578ad8802782c6670cd90eb482575ba827d8accd79e2efaa
fold-03-holdout-4,agent_outputs/heldout_harmonized.csv,54295,1002,aa3805c4a42dc12e92e7cdace655079d88c2e0bff440a05b5f4c14499e99b8cd
fold-04-holdout-5,agent_outputs/heldout_harmonized.csv,26730275,515826,5bde10efa1ce829aacfe296101eecc7d5625dc96f8651f53a18a836cd138002a
fold-05-holdout-7,agent_outputs/heldout_harmonized.csv,2806894,56862,e2a2688cc91a39adcf70e8db40c479ea6e9d1185c7542ce3465dfbb1394f9134
fold-06-holdout-8,agent_outputs/heldout_harmonized.csv,12635998,195525,25861a439f011c338a2fc0674638b554507cf3b0119b702e814c9ccedaff8bf1
fold-07-holdout-9,agent_outputs/heldout_harmonized.csv,34008,665,29a403b750f90ffa69418d96a051e222230de137d262e3abd20769a5028a13ee
fold-08-holdout-10,agent_outputs/heldout_harmonized.csv,16460,310,048c66bf6a270f13edadcbb6ec3ded4271078f6345e5f507924a147f709a087e
fold-09-holdout-17,agent_outputs/heldout_harmonized.csv,12594091,225525,6479cf4fca997ebe959154f8553c7308ab692d6a7a9d017bfd6443ae7f491028
fold-10-holdout-18,agent_outputs/heldout_harmonized.csv,38561,417,e09b21023b873fdaeba8f7ae20f8c82031909cca1a90e3c8661383f0ddb75459
fold-11-holdout-23,agent_outputs/heldout_harmonized.csv,116186889,1722717,ca637ee9e64fa07e8170fd04f029db48fd27a1669e8cae406f4e3905033e0764
fold-12-holdout-24,agent_outputs/heldout_harmonized.csv,307166,5737,c435134c4a6644be7e3edb2464e101556894d8f3f9e3bf5b87975ede6288a403
fold-13-holdout-25,agent_outputs/heldout_harmonized.csv,28558763,471672,ba50f1031c427eba9be47f90adc7b127b74bca5e4e5bb861fd92784c410860ba
